case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis,population,crime_rate,GDP(bd),edu,pop_m
2,AGO,Angola,2011,0,95.272,0,0,0,13.484,1,0,0,no_crisis,24232105,3,104.1,66,24.232105
2,AGO,Angola,2012,0,95.82588521,0,0,0,10.285,1,0,0,no_crisis,25140809,2,113.9,65.7,25.140809
2,AGO,Angola,2013,0,97.56,0,0,0,8.782,1,0,0,no_crisis,26083590,2,124.9,65.45,26.08359
2,AGO,Angola,2014,0,101.49,0,0,0,7.296,1,0,0,no_crisis,27061724,4,126.7,66,27.061724
10,CAF,Central African Republic,1975,0,224.2748413,0,0,0,16.02787456,1,0,0,no_crisis,45948694,7,,40.1,45.948694
10,CAF,Central African Republic,1976,1,248.4873242,0,0,0,10.51051051,1,0,0,crisis,47198498,2,,41.27,47.198498
10,CAF,Central African Republic,1977,1,235.2498335,0,0,0,11.14130435,1,0,0,crisis,48482298,3,,42.14,48.482298
10,CAF,Central African Republic,1978,1,208.9998521,0,0,0,11.49144254,1,0,0,crisis,49801016,9,,43.1,49.801016
10,CAF,Central African Republic,1979,1,200.9998578,0,0,0,9.210526316,1,0,0,crisis,51155604,9,,44.27,51.155604
10,CAF,Central African Republic,1980,1,225.7998402,0,0,0,13.3,1,0,0,crisis,52885374,8,,44.94,52.885374
10,CAF,Central African Republic,1981,1,287.3997967,0,1,0,14.66,1,0,0,crisis,54392607,4,,46.21,54.392607
10,CAF,Central African Republic,1982,1,336.2497621,0,0,0,13.243,1,0,0,crisis,55942796,6,,47.28,55.942796
10,CAF,Central African Republic,1983,0,417.3747047,0,1,0,14.558,1,0,0,no_crisis,57537166,8,,48.19,57.537166
10,CAF,Central African Republic,1984,0,479.5996607,0,1,0,2.604,1,0,0,no_crisis,59176975,7,,49.2,59.176975
10,CAF,Central African Republic,1985,0,378.0497326,0,1,0,10.457,1,0,0,no_crisis,60890064,7,,51.02,60.890064
10,CAF,Central African Republic,1986,0,322.7497717,0,1,0,2.411,1,0,0,no_crisis,62631520,3,,50.36,62.63152
10,CAF,Central African Republic,1987,0,266.9998111,0,1,0,-6.986,1,0,0,no_crisis,64422781,5,,51.1,64.422781
10,CAF,Central African Republic,1988,1,302.9497857,0,1,0,-3.934,1,0,0,crisis,66265273,5,,53.6,66.265273
10,CAF,Central African Republic,1989,1,289.3997953,0,1,0,0.645,1,0,0,crisis,68160460,9,,55.14,68.16046
10,CAF,Central African Republic,1990,1,256.4498186,0,1,0,-0.203,1,0,0,crisis,70855105,10,,55.61,70.855105
10,CAF,Central African Republic,1991,1,258.9998168,0,1,0,-2.848,1,0,0,crisis,73037442,8,,56.33,73.037442
10,CAF,Central African Republic,1992,1,275.3248052,0,1,0,-0.757,1,0,0,crisis,75286995,8,,56.69,75.286995
10,CAF,Central African Republic,1993,1,294.7747915,0,1,0,-2.909,1,0,0,crisis,77605835,6,,58.43,77.605835
10,CAF,Central African Republic,1994,1,534.5996218,0,1,0,24.55,1,1,1,crisis,79996095,2,,59.77,79.996095
10,CAF,Central African Republic,1995,1,489.9996534,0,1,0,19.2,1,0,0,crisis,83775158,6,,61.55,83.775158
10,CAF,Central African Republic,1996,1,523.6996296,0,1,0,3.723,1,0,0,crisis,86631891,9,,64.94,86.631891
10,CAF,Central African Republic,1997,1,598.8095764,0,1,0,1.597,1,0,0,crisis,89586038,8,,66.68,89.586038
10,CAF,Central African Republic,1998,1,562.2096023,0,1,0,-1.871,1,0,0,crisis,92640922,5,,67.57,92.640922
10,CAF,Central African Republic,1999,1,652.9534143,0,1,0,-1.415,1,0,0,crisis,95799978,6,,68.46,95.799978
10,CAF,Central African Republic,2000,0,704.9511016,0,1,0,3.202,1,0,0,no_crisis,96115539,6,,70.19,96.115539
10,CAF,Central African Republic,2001,0,744.3061387,0,1,0,3.843,1,0,0,no_crisis,98797163,2,,71.08,98.797163
10,CAF,Central African Republic,2002,0,625.4953752,0,1,0,2.298,1,0,0,no_crisis,101553603,4,,71.97,101.553603
10,CAF,Central African Republic,2003,0,519.3642122,0,1,0,4.353,1,0,0,no_crisis,104386949,7,,73.71,104.386949
10,CAF,Central African Republic,2004,0,481.5777109,0,1,0,-2.244,1,0,0,no_crisis,107299345,8,,75,107.299345
10,CAF,Central African Republic,2005,0,556.0371281,0,1,0,2.885,1,0,0,no_crisis,112008261,4,,76.28,112.008261
10,CAF,Central African Republic,2006,0,498.0690964,0,1,0,6.694,1,0,0,no_crisis,115491718,5,1.461,74.82,115.491718
10,CAF,Central African Republic,2007,0,445.5926907,0,1,0,0.935,1,0,0,no_crisis,119083510,6,1.698,76.11,119.08351
10,CAF,Central African Republic,2008,0,471.3350578,0,1,0,9.262,1,0,0,no_crisis,122787008,6,1.985,77.4,122.787008
10,CAF,Central African Republic,2009,0,455.3359711,0,1,0,3.522,1,0,0,no_crisis,126605683,7,1.982,75.64,126.605683
10,CAF,Central African Republic,2010,0,490.9122886,0,1,0,1.491,1,0,0,no_crisis,131622126,5,1.986,77.38,131.622126
10,CAF,Central African Republic,2011,0,506.9611253,0,1,0,1.195,1,0,0,no_crisis,135939332,9,2.196,75.46,135.939332
10,CAF,Central African Republic,2012,0,497.1631044,0,1,0,5.874,1,0,0,no_crisis,140398142,10,2.17,73.55,140.398142
10,CAF,Central African Republic,2013,0,475.6413603,0,1,0,6.552,1,0,0,no_crisis,145003201,3,1.5,72.09,145.003201
10,CAF,Central African Republic,2014,0,540.2825138,0,1,0,11.584,1,0,0,no_crisis,154203219,8,1.7,75.38,154.203219
19,EGY,Egypt,1975,0,0.3913,0,0,0,9.899265451,1,0,0,no_crisis,38549142,1,,41.1,38.549142
19,EGY,Egypt,1976,0,0.3913,0,0,0,10.29192345,1,0,0,no_crisis,43309063,6,,42.47,43.309063
19,EGY,Egypt,1977,0,0.3913,0,0,0,11.61462645,1,0,0,no_crisis,44331157,1,,43.24,44.331157
19,EGY,Egypt,1978,0,0.3913,0,0,0,11.27087249,1,0,0,no_crisis,45377372,1,,44.2,45.377372
19,EGY,Egypt,1979,0,0.7,0,0,0,9.90279235,1,1,0,no_crisis,46448278,2,,45.57,46.448278
19,EGY,Egypt,1980,1,0.699999999,0,0,0,20.5,1,0,1,no_crisis,49258732,6,,45.94,49.258732
19,EGY,Egypt,1981,1,0.699999999,0,0,0,10.4,1,0,0,crisis,50544385,1,,47.51,50.544385
19,EGY,Egypt,1982,1,0.699999999,0,0,0,14.9,1,0,0,crisis,51863593,2,,48.68,51.863593
19,EGY,Egypt,1983,1,0.699999999,0,0,0,15.982,1,0,0,crisis,53217233,4,,49.54,53.217233
19,EGY,Egypt,1984,0,0.7,0,1,0.4,17.06,1,0,0,no_crisis,54606203,1,,50.59,54.606203
19,EGY,Egypt,1985,0,0.7,0,0,0,12.108,1,0,0,no_crisis,56134475,2,,52.45,56.134475
19,EGY,Egypt,1986,0,0.7,0,0,0,23.9,1,0,1,no_crisis,57622039,2,,51.82,57.622039
19,EGY,Egypt,1987,0,0.7,0,0,0,25.185,1,0,1,no_crisis,59149023,5,,52.6,59.149023
19,EGY,Egypt,1988,0,0.7,0,0,0,15.185,1,0,0,no_crisis,60716472,1,,55.14,60.716472
19,EGY,Egypt,1989,0,1.1,0,0,0,20.129,1,1,1,no_crisis,62325458,1,,56.72,62.325458
19,EGY,Egypt,1990,0,2,0,0,0,21.219,1,1,1,crisis,62334034,1,,57.23,62.334034
19,EGY,Egypt,1991,0,3.33221,0,0,0,14.737,1,1,0,crisis,63655516,3,,57.98,63.655516
19,EGY,Egypt,1992,0,3.33861,0,0,0,21.142,1,0,1,crisis,65005012,1,,58.38,65.005012
19,EGY,Egypt,1993,0,3.3718,0,0,0,11.042,1,0,0,crisis,66383119,4,,60.15,66.383119
19,EGY,Egypt,1994,0,3.391,0,0,0,9.046,1,0,0,crisis,67790441,2,,61.53,67.790441
19,EGY,Egypt,1995,0,3.39,0,0,0,9.361,1,0,0,crisis,68831561,3,,63.36,68.831561
19,EGY,Egypt,1996,0,3.388,0,0,0,7.095,1,0,0,no_crisis,70208192,4,,66.78,70.208192
19,EGY,Egypt,1997,0,3.388,0,0,0,6.167,1,0,0,no_crisis,71612356,3,,68.56,71.612356
19,EGY,Egypt,1998,0,3.388,0,0,0,5.041,1,0,0,no_crisis,73044603,5,,69.49,73.044603
19,EGY,Egypt,1999,0,3.405,0,0,0,3.745,1,0,0,no_crisis,74505495,1,,70.41,74.505495
19,EGY,Egypt,2000,0,3.69,0,0,0,2.849,1,0,0,no_crisis,75523569,1,99.84,72.19,75.523569
19,EGY,Egypt,2001,0,4.49,0,0,0,2.431,1,1,0,no_crisis,76935860,3,97.63,73.11,76.93586
19,EGY,Egypt,2002,0,4.5,0,0,0,3.21,1,0,0,no_crisis,78374560,1,87.85,74.04,78.37456
19,EGY,Egypt,2003,0,6.1532,0,0,0,0,1,1,0,no_crisis,79840165,2,82.92,75.82,79.840165
19,EGY,Egypt,2004,0,6.1314,0,0,0,8.106,1,0,0,no_crisis,81333176,1,78.85,77.14,81.333176
19,EGY,Egypt,2005,0,5.7322,0,0,0,8.826,1,0,0,no_crisis,82761235,1,89.69,78.47,82.761235
19,EGY,Egypt,2006,0,5.7036,0,0,0,4.202,1,0,0,no_crisis,84292318,4,107.5,77.05,84.292318
19,EGY,Egypt,2007,0,5.5038,0,0,0,10.959,1,0,0,no_crisis,85851726,6,130.5,78.37,85.851726
19,EGY,Egypt,2008,0,5.5041,0,0,0,11.698,1,0,0,no_crisis,87439983,3,162.8,79.7,87.439983
19,EGY,Egypt,2009,0,5.4754,0,0,0,16.24,1,0,0,no_crisis,89057622,4,189,77.97,89.057622
19,EGY,Egypt,2010,0,5.7926,0,0,0,11.69,1,0,0,no_crisis,92442547,3,218.9,79.75,92.442547
19,EGY,Egypt,2011,0,6.0169,0,0,0,11.09,1,0,0,no_crisis,94513260,5,236,79,94.51326
19,EGY,Egypt,2012,0,6.3057,0,0,0,8.65,1,0,0,no_crisis,96630357,4,279.4,79,96.630357
19,EGY,Egypt,2013,0,6.94,0,0,0,6.914,1,0,0,no_crisis,98794877,2,288.6,79,98.794877
19,EGY,Egypt,2014,0,7.15,0,0,0,10.099,1,0,0,no_crisis,101007882,3,305.5,80,101.007882
15,CIV,Ivory Coast,2000,0,0,0,1,0,-0.381,1,0,0,no_crisis,16454668,3,,63.49,16.454668
15,CIV,Ivory Coast,1980,0,221,0,0,0,8.81,1,0,0,no_crisis,8033650,3,,43.94,8.03365
15,CIV,Ivory Coast,1993,0,297,0,1,0,2.13,1,0,0,no_crisis,13317363,3,,56.7,13.317363
15,CIV,Ivory Coast,1997,0,616,0,1,0,6.301,1,0,0,no_crisis,15225840,3,,60.56,15.22584
15,CIV,Ivory Coast,1998,0,576,0,1,0,5.219,1,0,0,no_crisis,15766358,3,,61.54,15.766358
15,CIV,Ivory Coast,1999,0,0,0,0,0,0.92,1,0,0,no_crisis,16326063,3,,62.51,16.326063
15,CIV,Ivory Coast,2002,0,0,0,1,0,3.08,1,0,0,no_crisis,17453368,3,,65.45,17.453368
15,CIV,Ivory Coast,2009,0,0,0,1,0,1.009,1,0,0,no_crisis,20031637,3,24.28,72.29,20.031637
15,CIV,Ivory Coast,1988,1,310,0,1,0,6.935,1,0,0,crisis,11253448,3,,52.07,11.253448
15,CIV,Ivory Coast,1995,0,495,0,1,0,14.1,1,0,0,no_crisis,14199762,3,,58.6,14.199762
15,CIV,Ivory Coast,2011,0,0,0,1,0,4.448,1,0,0,no_crisis,20999048,3,25.38,74.25,20.999048
15,CIV,Ivory Coast,2013,0,0,0,0,0,2.584,1,0,0,no_crisis,21963225,3,31.27,76.21,21.963225
15,CIV,Ivory Coast,2014,0,0,0,0,0,0.449,1,0,0,no_crisis,23226143,3,35.37,77.18,23.226143
15,CIV,Ivory Coast,1975,0,220,0,0,0,10.61769304,1,0,0,no_crisis,6412403,4,,39.1,6.412403
15,CIV,Ivory Coast,1981,0,290,0,0,0,8.682,1,0,0,no_crisis,8404001,4,,44.91,8.404001
15,CIV,Ivory Coast,1982,0,352,0,0,0,7.389,1,0,0,no_crisis,8791426,4,,45.88,8.791426
15,CIV,Ivory Coast,1983,0,450,0,1,0,5.879,1,0,0,no_crisis,9196710,4,,46.85,9.19671
15,CIV,Ivory Coast,1984,0,486.5,0,1,0,4.281,1,0,0,no_crisis,9620679,4,,47.82,9.620679
15,CIV,Ivory Coast,1985,0,380,0,1,0,1.753,1,0,0,no_crisis,9918196,4,,49.6,9.918196
15,CIV,Ivory Coast,1986,0,319,0,1,0,6.837,1,0,0,no_crisis,10344678,4,,48.9,10.344678
15,CIV,Ivory Coast,1987,0,277,0,1,0,6.978,1,0,0,no_crisis,10789500,4,,49.6,10.7895
15,CIV,Ivory Coast,1989,1,305,0,1,0,0.986,1,0,0,crisis,11737346,4,,53.57,11.737346
15,CIV,Ivory Coast,1990,1,267,0,1,0,-0.658,1,0,0,crisis,11924877,4,,54,11.924877
15,CIV,Ivory Coast,1991,1,265,0,1,0,1.575,1,0,0,crisis,12372060,4,,54.68,12.37206
15,CIV,Ivory Coast,1992,0,278,0,1,0,4.218,1,0,0,no_crisis,12836012,4,,55,12.836012
15,CIV,Ivory Coast,1994,0,540,0,1,0,25.956,1,1,1,no_crisis,13816764,4,,58,13.816764
15,CIV,Ivory Coast,1996,0,525.7,0,1,0,2.7,1,0,0,no_crisis,14703854,4,,59.58,14.703854
15,CIV,Ivory Coast,2001,0,0,0,1,0,4.355,1,0,0,no_crisis,16946663,4,,64.47,16.946663
15,CIV,Ivory Coast,2003,0,0,0,1,0,3.297,1,0,0,no_crisis,17975223,4,,66.43,17.975223
15,CIV,Ivory Coast,2004,0,0,0,1,0,1.459,1,0,0,no_crisis,18512683,4,,67.4,18.512683
15,CIV,Ivory Coast,2005,0,0,0,1,0,3.884,1,0,0,no_crisis,18354514,4,,68.38,18.354514
15,CIV,Ivory Coast,2007,0,0,0,1,0,1.896,1,0,0,no_crisis,19174748,4,,70.34,19.174748
15,CIV,Ivory Coast,1976,0,247,0,0,0,12.90885269,1,0,0,no_crisis,6712503,6,,40.07,6.712503
15,CIV,Ivory Coast,1977,0,236,0,0,0,24.48243736,1,0,1,no_crisis,7026649,6,,41.04,7.026649
15,CIV,Ivory Coast,1978,0,243.5,0,0,0,16.03173523,1,0,0,no_crisis,7355496,6,,42,7.355496
15,CIV,Ivory Coast,1979,0,205,0,0,0,21.75954473,1,0,1,no_crisis,7699733,6,,42.97,7.699733
15,CIV,Ivory Coast,2008,0,0,0,1,0,6.315,1,0,0,no_crisis,19598510,7,24.22,71.32,19.59851
15,CIV,Ivory Coast,2010,0,0,0,1,0,1.8,1,0,0,no_crisis,20532950,7,24.88,73.27,20.53295
15,CIV,Ivory Coast,2012,0,0,0,1,0,1.3,1,0,0,no_crisis,21475726,7,27.04,75.23,21.475726
15,CIV,Ivory Coast,2006,0,0,0,1,0,2.466,1,0,0,no_crisis,18760149,7,,69.36,18.760149
35,KEN,Kenya,1988,1,18.5994,0,0,0,4.804,1,0,0,crisis,22294580,8,,54.26,22.29458
35,KEN,Kenya,1999,1,72.9306,0,0,0,5.753,1,1,0,no_crisis,31496915,8,,65.59,31.496915
35,KEN,Kenya,1980,0,7.568499999,0,0,0,13.866,1,0,0,no_crisis,16417197,8,,44.85,16.417197
35,KEN,Kenya,1984,0,15.7813,0,0,0,20.667,1,0,1,no_crisis,19109949,8,,49.37,19.109949
35,KEN,Kenya,2002,0,77.0722,0,0,0,2.156,1,0,0,no_crisis,33812500,8,,68.54,33.8125
35,KEN,Kenya,2014,0,89.35,0,0,0,6.878,1,0,0,no_crisis,47878336,8,61.44,76,47.878336
35,KEN,Kenya,1990,0,24.0841,0,0,0,11.2,1,0,0,no_crisis,23724579,8,,56.51,23.724579
35,KEN,Kenya,2000,0,78.0361,0,1,0,9.955,1,0,0,no_crisis,31964557,8,,66.58,31.964557
35,KEN,Kenya,1976,0,8.27,0,0,0,9.527607326,1,1,0,no_crisis,14083646,7,,40.47,14.083646
35,KEN,Kenya,1975,0,7.1429,0,0,0,19.7347384,1,0,0,no_crisis,13575907,6,,39.1,13.575907
35,KEN,Kenya,1981,0,10.2862,0,0,0,7.895,1,1,0,no_crisis,17052543,6,,45.98,17.052543
35,KEN,Kenya,1983,0,13.7959,0,0,0,11.603,1,0,0,no_crisis,18397949,6,,48.24,18.397949
35,KEN,Kenya,1987,1,16.5149,0,0,0,13.007,1,0,0,crisis,21457729,6,,51.63,21.457729
35,KEN,Kenya,2003,0,76.1389,0,0,0,5.983,1,0,0,no_crisis,34776156,6,,69.53,34.776156
35,KEN,Kenya,2006,0,69.3967,0,0,0,6.041,1,0,0,no_crisis,37635742,6,,72,37.635742
35,KEN,Kenya,2009,0,75.82,0,0,0,10.552,1,0,0,no_crisis,40838781,6,,73,40.838781
35,KEN,Kenya,1979,0,7.3276,0,0,0,8.080283232,1,0,0,no_crisis,15723667,5,,43.67,15.723667
35,KEN,Kenya,1985,1,16.2843,0,0,0,11.398,1,0,0,crisis,19877083,5,,51.31,19.877083
35,KEN,Kenya,2004,0,77.3444,0,0,0,8.381,1,0,0,no_crisis,35767277,5,,70.51,35.767277
35,KEN,Kenya,2010,0,80.75194444,0,0,0,4.309,1,0,0,no_crisis,42030676,5,40,73,42.030676
35,KEN,Kenya,2013,0,86.31,0,0,0,5.717,1,0,0,no_crisis,45647708,5,55.1,75,45.647708
35,KEN,Kenya,1977,0,7.9471,0,0,0,18.01088176,1,0,0,no_crisis,14610374,4,,41.49,14.610374
35,KEN,Kenya,1982,0,12.7249,0,0,0,13.821,1,1,0,no_crisis,17712476,4,,47.11,17.712476
35,KEN,Kenya,1989,1,21.601,0,0,0,7.617,1,1,0,no_crisis,23164069,4,,55.92,23.164069
35,KEN,Kenya,1991,0,28.0741,0,0,0,19.104,1,1,0,no_crisis,24578664,4,,57.35,24.578664
35,KEN,Kenya,1995,1,55.9389,0,1,0,1.554,1,0,0,crisis,27768296,4,,61.6,27.768296
35,KEN,Kenya,1997,1,62.6778,0,1,0,11.924,1,0,0,no_crisis,29573902,4,,63.66,29.573902
35,KEN,Kenya,1986,1,16.0422,0,0,0,10.284,1,0,0,crisis,20652289,3,,50.77,20.652289
35,KEN,Kenya,1992,1,36.2163,0,0,0,27.332,1,1,1,crisis,25463496,3,,57.83,25.463496
